Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2005-04-25,1740.45,1751.25,1733.1,1748.3,158530400,3278.33
2005-04-26,1747.6,1751.65,1736.75,1740.6,171588279,3058.69
2005-04-27,1739.55,1742.9,1719.35,1723.05,187941768,3875.5
2005-04-28,1722.35,1725.45,1709.65,1718.15,229739679,4947.16
2005-04-29,1716.75,1716.75,1684.15,1688.65,172857780,3463.07
2005-05-31,1819.6,1837.55,1818.05,1834.85,172044397,3536.56
2005-06-01,1836.75,1845.05,1833.35,1838.45,208571197,3833.93
2005-06-02,1840.15,1843.75,1820.1,1821.45,212633208,3664.11
2005-06-03,1823.7,1844.4,1820.55,1843.05,206610577,3678.7
2005-06-04,1844.85,1847.45,1839.0,1844.85,115912661,1572.76
2005-06-06,1848.0,1862.2,1845.55,1849.2,219958667,3506.69
2005-06-07,1853.55,1859.7,1847.25,1856.5,222851088,3458.09
2005-06-08,1861.6,1870.5,1859.3,1867.3,249997284,4043.66
2005-06-09,1871.15,1871.15,1858.5,1862.15,253235659,3564.3
2005-06-10,1870.7,1872.65,1847.05,1851.0,237918894,3663.89
2005-06-13,1856.55,1860.4,1844.7,1858.15,203968232,3190.05
2005-06-14,1862.8,1864.45,1855.3,1863.1,223343886,3400.51
2005-06-15,1865.3,1876.4,1865.05,1874.75,250416494,3526.86
2005-06-16,1879.95,1881.15,1860.7,1862.75,254423208,4063.74
2005-06-17,1866.7,1866.7,1842.75,1854.6,187571014,3510.43
2005-06-20,1871.25,1872.65,1857.85,1861.65,236639223,6391.71
2005-06-21,1864.55,1878.7,1857.9,1877.5,208313020,4986.13
2005-06-22,1882.35,1896.45,1882.35,1889.05,252101229,5810.38
2005-06-23,1893.1,1896.15,1882.45,1890.8,224498071,4699.29
2005-06-24,1881.95,1907.8,1877.55,1901.35,257033991,5380.22
2005-06-27,1898.55,1919.55,1898.55,1903.3,286893931,6779.52
2005-06-28,1906.95,1908.3,1873.8,1875.8,234473764,5121.36
2005-06-29,1880.8,1894.1,1872.05,1892.85,224733947,4861.78
2005-06-30,1897.35,1912.15,1897.35,1906.2,296208511,6726.92
2005-07-01,1900.85,1915.3,1895.4,1912.35,258469469,4484.02
2005-07-04,1913.1,1933.9,1913.1,1933.35,317336941,4569.45
2005-07-05,1933.75,1941.1,1913.3,1917.95,321727757,5273.48
2005-07-06,1928.75,1941.75,1926.4,1939.3,344369112,5419.89
2005-07-07,1940.5,1944.3,1896.95,1903.05,390677701,6072.35
2005-07-08,1917.05,1929.1,1908.15,1924.4,293456481,5033.48
2005-07-11,1932.25,1948.75,1932.25,1945.0,306649061,5258.31
2005-07-12,1941.9,1958.65,1925.65,1948.55,331814768,7048.28
2005-07-13,1956.35,1960.9,1939.8,1942.8,338984987,6392.69
2005-07-14,1948.95,1949.35,1929.55,1933.6,295496573,5803.51
2005-07-15,1944.7,1956.75,1933.65,1955.05,266642297,5067.39
2005-07-18,1968.85,1979.2,1965.4,1976.75,317080399,5372.64
2005-07-19,1985.85,1988.5,1974.6,1982.3,353301526,5021.15
2005-07-20,1991.4,1996.8,1986.65,1989.7,381519124,4924.75
2005-07-21,1998.75,2000.35,1971.25,1979.45,345097024,5069.84
2005-07-22,1970.75,2008.85,1970.75,2007.4,290226887,5184.07
2005-07-25,2017.15,2029.4,2014.95,2027.95,323591533,5858.62
2005-07-26,2032.25,2032.25,2014.45,2028.8,325555802,5906.0
2005-07-27,2029.35,2041.35,2021.25,2038.35,194353991,4189.18
2005-07-29,2013.5,2044.7,2013.5,2027.4,363070862,8242.76
2005-08-01,2027.5,2040.8,2012.35,2039.6,253431052,5086.15
2005-08-02,2042.5,2075.15,2042.5,2073.5,316973114,6776.67
2005-08-03,2086.75,2092.55,2066.3,2073.35,324596686,8222.96
2005-08-04,2083.95,2087.4,2071.45,2083.65,293835356,6979.79
2005-08-05,2090.5,2095.35,2081.4,2086.0,366667666,6894.24
2005-08-08,2093.4,2095.15,2051.45,2055.4,374637018,6202.6
2005-08-09,2061.8,2070.05,2039.35,2051.0,376622121,6630.05
2005-08-10,2062.2,2088.55,2060.15,2086.45,310172474,5722.95
2005-08-11,2095.9,2108.45,2085.75,2103.2,352603775,6517.16
2005-08-12,2109.5,2110.15,2088.45,2093.2,304632247,5508.67
2005-08-16,2097.3,2108.6,2092.3,2103.65,286630486,4799.61
2005-08-17,2102.75,2131.4,2098.55,2129.6,306474534,5338.39
2005-08-18,2132.9,2149.35,2113.35,2119.15,320911417,5524.73
2005-08-19,2122.7,2136.05,2113.15,2116.5,282922035,4456.03
2005-08-22,2117.95,2133.65,2094.55,2104.3,308662859,4983.5
2005-08-23,2105.15,2110.6,2062.45,2066.25,270694743,4687.59
2005-08-24,2067.35,2071.45,2038.7,2056.4,271949439,5297.36
2005-08-25,2059.0,2082.55,2058.8,2080.35,351474931,6381.32
2005-08-26,2086.35,2101.55,2081.0,2094.9,323080886,4992.78
2005-08-29,2091.3,2091.3,2062.35,2083.0,318375576,4452.0
2005-08-30,2085.45,2113.25,2085.45,2110.4,302569220,4971.83
2005-08-31,2111.6,2127.75,2108.55,2126.35,343617307,5534.73
2005-09-01,2134.55,2149.4,2134.55,2143.6,321331174,4978.23
2005-09-02,2145.85,2155.5,2134.45,2150.94,290525734,5093.82
2005-09-05,2153.5,2171.1,2153.5,2157.75,244532310,4144.88
2005-09-06,2160.95,2169.25,2152.65,2161.5,225724615,3968.0
2005-09-08,2167.3,2180.75,2167.3,2179.5,237589492,4346.72
2005-09-09,2181.95,2183.35,2170.95,2179.15,260522472,4387.22
2005-09-12,2186.95,2206.85,2186.95,2205.7,248064150,4537.02
2005-09-13,2208.4,2221.65,2201.7,2220.85,277558575,5033.43
2005-09-14,2220.5,2235.85,2197.15,2211.4,332549185,6426.81
2005-09-15,2218.5,2237.95,2218.5,2236.65,275213437,5346.93
2005-09-16,2244.75,2260.4,2234.15,2258.15,330787709,6058.01
2005-09-19,2262.8,2278.4,2260.1,2275.0,332952003,5964.84
2005-09-20,2274.25,2282.15,2254.65,2278.45,362279203,7082.46
2005-09-21,2277.6,2278.05,2195.3,2260.25,386686369,7625.62
2005-09-22,2258.65,2258.7,2159.75,2167.1,369824845,7360.89
2005-09-23,2183.55,2196.6,2146.35,2174.65,312546259,6392.91
2005-09-26,2195.75,2247.5,2195.75,2245.4,230969612,4705.03
2005-09-27,2246.25,2274.8,2241.3,2259.35,271046189,5977.23
2005-09-28,2261.3,2282.4,2250.65,2280.35,275341640,5734.0
2005-09-29,2289.55,2302.3,2275.55,2281.75,344600623,8435.15
2005-09-30,2284.1,2284.9,2242.85,2274.0,274123209,6653.63
2005-10-03,2282.5,2302.15,2282.5,2299.45,230101866,4975.84
2005-10-04,2300.05,2330.0,2300.05,2327.75,259028997,6050.74
2005-10-05,2331.35,2333.1,2307.9,2313.25,259724582,5737.86
2005-10-06,2284.9,2299.8,2264.5,2270.05,285978664,6383.66
2005-10-07,2268.35,2293.05,2244.3,2264.1,241384737,6148.58
2005-10-10,2272.9,2279.25,2249.35,2253.6,179708097,4332.22
2005-10-11,2266.85,2267.35,2224.7,2264.0,199858746,5127.44
2005-10-13,2254.4,2267.45,2220.15,2226.25,220267900,5922.53
2005-10-14,2229.15,2229.5,2176.45,2181.05,210797858,5391.07
2005-10-17,2189.6,2189.85,2154.9,2172.6,191366220,4954.3
2005-10-18,2178.4,2201.9,2144.6,2157.9,199526311,5165.31
2005-10-19,2141.45,2141.45,2094.5,2105.65,230421290,5707.95
2005-10-20,2112.75,2145.9,2059.85,2085.15,273725423,6263.06
2005-10-21,2092.95,2122.45,2070.85,2119.45,265338101,5913.09
2005-10-24,2131.85,2131.85,2087.35,2092.05,204883585,4619.92
2005-10-25,2105.5,2125.55,2088.7,2108.5,197797577,4952.64
2005-10-26,2110.05,2119.15,2095.1,2098.2,174486689,4133.45
2005-10-27,2098.2,2103.0,2044.0,2052.05,297262748,6900.1
2005-10-28,2052.8,2052.8,2016.0,2022.15,209651304,4838.19
2005-10-31,2035.9,2069.25,2031.75,2067.8,191047187,4094.89
2005-11-01,2096.65,2096.65,2079.45,2084.65,59087435,1256.51
2005-11-02,2084.55,2109.15,2066.25,2106.4,178512559,4480.58
2005-11-07,2111.55,2143.5,2104.15,2141.95,215580108,5206.72
2005-11-08,2151.1,2182.7,2149.55,2173.0,243189958,5691.91
2005-11-09,2178.6,2196.5,2158.25,2166.6,214552306,5089.58
2005-11-10,2174.75,2181.05,2164.45,2177.25,185429072,4213.78
2005-11-11,2189.95,2221.4,2189.95,2220.2,216971845,5144.87
2005-11-14,2235.6,2243.85,2209.65,2227.15,198061258,4801.67
2005-11-16,2236.5,2247.6,2231.0,2245.25,180879234,4579.75
2005-11-17,2231.9,2262.95,2231.85,2259.55,230059830,5330.77
2005-11-18,2265.85,2283.65,2263.05,2269.0,258155969,5454.94
2005-11-21,2267.3,2275.85,2250.15,2255.25,225104449,5131.67
2005-11-22,2248.4,2264.25,2230.3,2233.9,212407865,5288.95
2005-11-23,2237.8,2257.95,2234.05,2255.5,213011499,5110.32
2005-11-24,2269.45,2280.35,2268.1,2274.7,266075107,5930.23
2005-11-25,2275.25,2302.7,2275.25,2300.7,234833222,5087.65
2005-11-26,2306.4,2323.85,2306.4,2321.95,98042889,2269.74
2005-11-28,2327.8,2350.5,2327.8,2346.85,232769502,5676.57
2005-11-29,2345.95,2346.8,2322.3,2336.8,212430807,6258.8
2005-11-30,2345.55,2362.85,2302.4,2306.15,236523065,6161.91
